"";"ano";"uf";"divisao";"percentual";"vinculos"
"136";1994;"CE";27;0,521667580910587;1823
"130";1994;"CE";28;0,428103177996295;7017
"124";1994;"CE";29;0,452754142409315;2233
"125";1994;"CE";31;0,265373961218837;1805
"135";1994;"CE";34;0,561604584527221;698
"127";1994;"CE";35;0,339622641509434;318
"126";1994;"CE";36;0,728067618770038;3431
"139";1994;"DF";1;0,310378654110261;5097
"160";1994;"DF";5;0,481481481481481;27
"141";1994;"DF";10;0;0
"144";1994;"DF";11;0;75
"142";1994;"DF";13;0,033210332103321;271
"143";1994;"DF";14;0,117460317460317;315
"151";1994;"DF";15;0,407155025553663;9979
"155";1994;"DF";16;0;71
"157";1994;"DF";17;0,378531073446328;177
"140";1994;"DF";18;0,706761006289308;1272
"161";1994;"DF";19;0,709677419354839;124
"152";1994;"DF";20;0,502923976608187;684
"145";1994;"DF";21;0,469387755102041;147
"146";1994;"DF";23;0,713888888888889;360
"156";1994;"DF";24;0,348484848484849;462
"154";1994;"DF";26;0,158695652173913;1380
"159";1994;"DF";27;0,292079207920792;202
"153";1994;"DF";28;0,260869565217391;1587
"147";1994;"DF";29;0,161702127659574;470
"148";1994;"DF";31;0,228456913827655;499
"158";1994;"DF";34;0,661538461538462;260
"150";1994;"DF";35;0,0681818181818182;88
"149";1994;"DF";36;0,408900523560209;1910
"162";1994;"ES";1;0,763138258181431;18762
"183";1994;"ES";5;0,613941018766756;373
"164";1994;"ES";10;0,983870967741935;62
"167";1994;"ES";11;0,00254022015241321;1181
"165";1994;"ES";13;0,0697986577181208;745
"166";1994;"ES";14;0,388919899525537;7166
"174";1994;"ES";15;0,422319867282428;22303
"178";1994;"ES";16;0,0595238095238095;84
"180";1994;"ES";17;0,388827433628319;3616
"163";1994;"ES";18;0,832582760527771;12657
"184";1994;"ES";19;0,690862944162437;1970
"175";1994;"ES";20;0,743698593791457;3769
"168";1994;"ES";21;0,113636363636364;1584
"169";1994;"ES";23;0,35748031496063;3175
"179";1994;"ES";24;0,39386189258312;1173
"177";1994;"ES";26;0,431272619838984;13539
"182";1994;"ES";27;0,0451695868831378;6221
"176";1994;"ES";28;0,268620855358001;4162
"170";1994;"ES";29;0,216037368625924;2569
"171";1994;"ES";31;0,17741935483871;682
"181";1994;"ES";34;0,723502304147465;651
"173";1994;"ES";35;0,456953642384106;151
"172";1994;"ES";36;0,708924485125858;4370
"185";1994;"GO";1;0,506395182104961;34870
"206";1994;"GO";5;0,529411764705882;51
"187";1994;"GO";10;1;7
"190";1994;"GO";11;0;0
"188";1994;"GO";13;0,125956444967628;1699
"189";1994;"GO";14;0,210499227997941;3886
"197";1994;"GO";15;0,358060207541354;38932
"201";1994;"GO";16;0,213636363636364;220
"203";1994;"GO";17;0,531865585168019;3452
"186";1994;"GO";18;0,826372712146423;12020
"207";1994;"GO";19;0,691102123356926;3956
"198";1994;"GO";20;0,806366047745358;754
"191";1994;"GO";21;0,440374787052811;1174
"192";1994;"GO";23;0,325460271317829;8256
"202";1994;"GO";24;0,371802618328298;4965
"200";1994;"GO";26;0,576799888594903;7181
"205";1994;"GO";27;0,353788935378894;2151
"199";1994;"GO";28;0,588361408882083;3265
"193";1994;"GO";29;0,144622991347342;1618
"194";1994;"GO";31;0,610271903323263;662
"204";1994;"GO";34;0,430292598967298;1743
"196";1994;"GO";35;0,451737451737452;259
"195";1994;"GO";36;0,683350622406639;3856
"208";1994;"MA";1;0,502584181675803;6385
"229";1994;"MA";5;0,366666666666667;90
"210";1994;"MA";10;0;0
"213";1994;"MA";11;0;0
"211";1994;"MA";13;0,243478260869565;230
"212";1994;"MA";14;0,313056379821958;674
"220";1994;"MA";15;0,338612779901693;9155
"224";1994;"MA";16;0;66
"226";1994;"MA";17;0,27;1000
"209";1994;"MA";18;0,85480093676815;427
"230";1994;"MA";19;0,558823529411765;136
"221";1994;"MA";20;0,793302355391764;6241
"214";1994;"MA";21;0,161242603550296;676
