"";"totalvinculosup"
"1";0,53241892433442
"2";0,497631873892766
"3";0,175511006289308
"4";0,038563448868519
"5";0,0852537763750769
"6";0,324004119128458
"7";0,28298918373357
"8";0,283936626931375
"9";0,205336046143363
"10";0,451551624861486
"11";0,379340880025775
"12";0,53945955387641
"13";0,139879211871123
"14";0,234053416138671
"15";0,110828011695432
"16";0,336015391700122
"17";0,0704557715084792
"18";0,132115212087064
"19";0,066910115891611
"20";0,0668178628956548
"21";0,0474109985943372
"22";0,0746700304587269
"23";0,37859373963686
"24";0,568672631016498
"25";0,499540928031641
"26";0,210489787824708
"27";0,0193218120934529
"28";0,0782908704883227
"29";0,315841355100234
"30";0,290420902701803
"31";0,3093659621802
"32";0,204792234804715
"33";0,411564299116892
"34";0,394351344386965
"35";0,530467249512161
"36";0,129979535044882
"37";0,305748616743807
"38";0,100144171250372
"39";0,342883176322115
"40";0,0649530873180263
"41";0,1298973333612
"42";0,0556362845548949
"43";0,0645672791938353
"44";0,0415835082012632
"45";0,0761642291190379
"46";0,342807731495899
"47";0,602168035094449
"48";0,484893342442875
"49";0,181373690337602
"50";0,00952773767787172
"51";0,0796877033181523
"52";0,302847907261885
"53";0,292740884979521
"54";0,373345163323916
"55";0,221599880960577
"56";0,423656268306971
"57";0,436026652148986
"58";0,550024813895782
"59";0,130575788498305
"60";0,346834096267642
"61";0,106988949275867
"62";0,34860877348029
"63";0,0758948540043481
"64";0,137339644474593
"65";0,0548203416453956
"66";0,0745928338762215
"67";0,0434262433832073
"68";0,0938486119432794
"69";0,342181750140336
"70";0,581716748365552
"71";0,523199191473723
"72";0,16564863292612
"73";0,0536564981195152
"74";0,0786412677006069
"75";0,302729311382158
"76";0,296509379870291
"77";0,439556501760081
"78";0,240932441413166
"79";0,443380681609204
"80";0,461685368773888
"81";0,551392998905126
"82";0,134278247386585
"83";0,338175005222478
"84";0,114324392590469
"85";0,366900121232233
"86";0,075347720459744
"87";0,137380872784004
"88";0,0589374475501904
"89";0,077113838186758
"90";0,0402199568980262
"91";0,0823088910051078
"92";0,332141085188746
"93";0,607621924278817
"94";0,525899659782452
"95";0,180876204326486
"96";0,00814111261872455
"97";0,0714459953923296
"98";0,310612950163696
"99";0,315272661374203
"100";0,445586442622559
"101";0,283055620936782
"102";0,50818942291892
"103";0,511093440854169
"104";0,55697950482097
"105";0,148082063707352
"106";0,339306535747162
"107";0,131536250908611
"108";0,390215745045913
"109";0,0918199823322269
"110";0,154858040436071
"111";0,0651075528476428
"112";0,0800960085340918
"113";0,0421549819788397
"114";0,0945175128458964
"115";0,346446453144501
"116";0,613689858560773
"117";0,495408433097745
"118";0,185469951357289
"119";0,0143348204490602
"120";0,064415017257167
"121";0,317690479455186
"122";0,329990097130058
"123";0,474935682544632
"124";0,303803285239257
"125";0,540892008869212
"126";0,536292434649404
"127";0,560751246954918
"128";0,165108704287265
"129";0,370144921013547
"130";0,142495877531934
"131";0,40133839462493
"132";0,087533257897795
"133";0,166131675292214
"134";0,0715887216209102
"135";0,086937196913912
"136";0,0471695032589244
"137";0,107304894735579
"138";0,353796806120174
"139";0,638238928949594
"140";0,498378648041906
"141";0,237126509853783
"142";0,0462668878881251
"143";0,0706072161924318
"144";0,340779876461849
"145";0,368912242594604
"146";0,491993720565149
"147";0,339818921820255
"148";0,582989074036129
"149";0,579047643540337
"150";0,574059254570103
"151";0,180694920434667
"152";0,335825084192264
"153";0,157854552395495
"154";0,412846650870622
