date,indicador,valor
2004-11-01,Tesouro Nacional,-1224937
2004-12-01,Tesouro Nacional,-2788872
2005-01-01,Tesouro Nacional,2988432
2005-02-01,Tesouro Nacional,-6814536
2005-03-01,Tesouro Nacional,-7317291
2005-04-01,Tesouro Nacional,-10969199
2005-05-01,Tesouro Nacional,-4913752
2005-06-01,Tesouro Nacional,-915643
2005-07-01,Tesouro Nacional,1695868
2005-08-01,Tesouro Nacional,-2145214
2005-09-01,Tesouro Nacional,237805
2005-10-01,Tesouro Nacional,-5559222
2005-11-01,Tesouro Nacional,-7775377
2005-12-01,Tesouro Nacional,-1519602
2006-01-01,Tesouro Nacional,9867529
2006-02-01,Tesouro Nacional,-8266866
2006-03-01,Tesouro Nacional,-9465497
2006-04-01,Tesouro Nacional,-7838568
2006-05-01,Tesouro Nacional,-10245023
2006-06-01,Tesouro Nacional,-6245942
2006-07-01,Tesouro Nacional,-28981
2006-08-01,Tesouro Nacional,-12425909
2006-09-01,Tesouro Nacional,1811783
2006-10-01,Tesouro Nacional,-7679927
2006-11-01,Tesouro Nacional,-6834247
2006-12-01,Tesouro Nacional,-2159061
2007-01-01,Tesouro Nacional,-1924475
2007-02-01,Tesouro Nacional,-4107811
2007-03-01,Tesouro Nacional,-349960
2007-04-01,Tesouro Nacional,-8741149
2007-05-01,Tesouro Nacional,-5559936
2007-06-01,Tesouro Nacional,-143089
2007-07-01,Tesouro Nacional,-1284280
2007-08-01,Tesouro Nacional,-7569583
2007-09-01,Tesouro Nacional,-3653673
2007-10-01,Tesouro Nacional,-6243998
2007-11-01,Tesouro Nacional,-11196646
2007-12-01,Tesouro Nacional,-4826282
2008-01-01,Tesouro Nacional,5478738
2008-02-01,Tesouro Nacional,-15087354
2008-03-01,Tesouro Nacional,1820119
2008-04-01,Tesouro Nacional,-14212403
2008-05-01,Tesouro Nacional,-11468012
2008-06-01,Tesouro Nacional,-2799299
2008-07-01,Tesouro Nacional,132513
2008-08-01,Tesouro Nacional,-10324532
2008-09-01,Tesouro Nacional,-5041334
2008-10-01,Tesouro Nacional,-10652156
2008-11-01,Tesouro Nacional,-8681602
2008-12-01,Tesouro Nacional,-3477074
2009-01-01,Tesouro Nacional,9986573
2009-02-01,Tesouro Nacional,-6918966
2009-03-01,Tesouro Nacional,-7305667
2009-04-01,Tesouro Nacional,-10218689
2009-05-01,Tesouro Nacional,-5518799
2009-06-01,Tesouro Nacional,2739474
2009-07-01,Tesouro Nacional,1946574
2009-08-01,Tesouro Nacional,-6321899
2009-09-01,Tesouro Nacional,5900874
2009-10-01,Tesouro Nacional,-6321984
2009-11-01,Tesouro Nacional,-15093679
2009-12-01,Tesouro Nacional,-15185319
2010-01-01,Tesouro Nacional,5879485
2010-02-01,Tesouro Nacional,-12285633
2010-03-01,Tesouro Nacional,2543965
2010-04-01,Tesouro Nacional,-9077097
2010-05-01,Tesouro Nacional,-8052072
2010-06-01,Tesouro Nacional,177117
2010-07-01,Tesouro Nacional,6097293
2010-08-01,Tesouro Nacional,-6594826
2010-09-01,Tesouro Nacional,-2503311
2010-10-01,Tesouro Nacional,1795696
2010-11-01,Tesouro Nacional,-6304238
2010-12-01,Tesouro Nacional,-22880052
2011-01-01,Tesouro Nacional,16919138
2011-02-01,Tesouro Nacional,-18839239
2011-03-01,Tesouro Nacional,-13093128
2011-04-01,Tesouro Nacional,-9855731
2011-05-01,Tesouro Nacional,-15696402
2011-06-01,Tesouro Nacional,-5682142
2011-07-01,Tesouro Nacional,-7600064
2011-08-01,Tesouro Nacional,-20182966
2011-09-01,Tesouro Nacional,-9100756
2011-10-01,Tesouro Nacional,-5390435
2011-11-01,Tesouro Nacional,-19165378
2011-12-01,Tesouro Nacional,-17945760
2012-01-01,Tesouro Nacional,6232092
2012-02-01,Tesouro Nacional,-23612664
2012-03-01,Tesouro Nacional,-9070549
2012-04-01,Tesouro Nacional,-10290613
2012-05-01,Tesouro Nacional,-14994295
2012-06-01,Tesouro Nacional,-4225659
2012-07-01,Tesouro Nacional,-3624148
2012-08-01,Tesouro Nacional,-9905209
2012-09-01,Tesouro Nacional,-1015949
2012-10-01,Tesouro Nacional,-6109155
2012-11-01,Tesouro Nacional,-5652301
2012-12-01,Tesouro Nacional,-39380522
2013-01-01,Tesouro Nacional,5991367
2013-02-01,Tesouro Nacional,-19052063
2013-03-01,Tesouro Nacional,-4777048
2013-04-01,Tesouro Nacional,-1931761
2013-05-01,Tesouro Nacional,-17282981
2013-06-01,Tesouro Nacional,-5757543
2013-07-01,Tesouro Nacional,-3324380
2013-08-01,Tesouro Nacional,-11830419
2013-09-01,Tesouro Nacional,4222354
2013-10-01,Tesouro Nacional,2275655
2013-11-01,Tesouro Nacional,-32989007
2013-12-01,Tesouro Nacional,-43098963
2014-01-01,Tesouro Nacional,22751616
2014-02-01,Tesouro Nacional,-18764104
2014-03-01,Tesouro Nacional,2859377
2014-04-01,Tesouro Nacional,-10256812
2014-05-01,Tesouro Nacional,-4915220
2014-06-01,Tesouro Nacional,1270932
2014-07-01,Tesouro Nacional,7823303
2014-08-01,Tesouro Nacional,-2464888
2014-09-01,Tesouro Nacional,18560338
2014-10-01,Tesouro Nacional,1476196
2014-11-01,Tesouro Nacional,-1070730
2014-12-01,Tesouro Nacional,-17938494
2015-01-01,Tesouro Nacional,17974099
2015-02-01,Tesouro Nacional,-11204564
2015-03-01,Tesouro Nacional,-7512856
2015-04-01,Tesouro Nacional,-10186023
2015-05-01,Tesouro Nacional,-4687678
2015-06-01,Tesouro Nacional,7614951
2015-07-01,Tesouro Nacional,10325098
2015-08-01,Tesouro Nacional,-2602971
2015-09-01,Tesouro Nacional,180052
2015-10-01,Tesouro Nacional,16048730
2015-11-01,Tesouro Nacional,11750069
2015-12-01,Tesouro Nacional,31966901
2016-01-01,Tesouro Nacional,-5251835
2016-02-01,Tesouro Nacional,2042186
2016-03-01,Tesouro Nacional,8517240
2016-04-01,Tesouro Nacional,-5076870
2016-05-01,Tesouro Nacional,4610701
2016-06-01,Tesouro Nacional,14928374
2016-07-01,Tesouro Nacional,30176217
2016-08-01,Tesouro Nacional,5463931
2016-09-01,Tesouro Nacional,23157623
2016-10-01,Tesouro Nacional,-34186545
2016-11-01,Tesouro Nacional,20300803
2016-12-01,Tesouro Nacional,-52397634
2017-01-01,Tesouro Nacional,8140048
2017-02-01,Tesouro Nacional,17232621
2017-03-01,Tesouro Nacional,-3323002
2017-04-01,Tesouro Nacional,-8792442
2017-05-01,Tesouro Nacional,17127169
2017-06-01,Tesouro Nacional,18576819
2017-07-01,Tesouro Nacional,27747274
2017-08-01,Tesouro Nacional,3761593
2017-09-01,Tesouro Nacional,-7674008
2017-10-01,Tesouro Nacional,-14210935
2017-11-01,Tesouro Nacional,-13615850
2017-12-01,Tesouro Nacional,7163590
2018-01-01,Tesouro Nacional,3102082
2018-02-01,Tesouro Nacional,-8619113
2018-03-01,Tesouro Nacional,-13045704
2018-04-01,Tesouro Nacional,2618044
